district_id,district_short,state,job_title,population,percent_aa,percent_latino,percent_obama,primary_election_date,general_election_date,next_filing_date,election_result,notes
IA - Fremont,Fremont,IA,County Attorney,7022,0.70,2.60,44.60,,2018-11-06,2018-01-01,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,Filing deadline in March.
IA - Greene,Greene,IA,County Attorney,9200,0.60,2.90,49.00,,2018-11-06,2018-01-01,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,Filing deadline in March.
IA - Grundy,Grundy,IA,County Attorney,12375,0.50,1.20,37.80,,2018-11-06,2018-01-01,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,Filing deadline in March.
IA - Guthrie,Guthrie,IA,County Attorney,10722,0.30,2.30,43.60,,2018-11-06,2018-01-01,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,Filing deadline in March.
IA - Hamilton,Hamilton,IA,County Attorney,15117,0.80,5.40,47.70,,2018-11-06,2018-01-01,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,Filing deadline in March.
IA - Hancock,Hancock,IA,County Attorney,11027,0.70,3.50,42.50,,2018-11-06,2018-01-01,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,Filing deadline in March.
IA - Hardin,Hardin,IA,County Attorney,17311,1.50,4.10,45.80,,2018-11-06,2018-01-01,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,Filing deadline in March.
IA - Harrison,Harrison,IA,County Attorney,14324,0.40,1.40,42.80,,2018-11-06,2018-01-01,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,Filing deadline in March.
IA - Henry,Henry,IA,County Attorney,20217,2.60,4.70,46.00,,2018-11-06,2018-01-01,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,Filing deadline in March.
IA - Howard,Howard,IA,County Attorney,9449,0.80,1.40,59.60,,2018-11-06,2018-01-01,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,Filing deadline in March.
IA - Humboldt,Humboldt,IA,County Attorney,9640,0.70,4.00,38.20,,2018-11-06,2018-01-01,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,Filing deadline in March.
IA - Ida,Ida,IA,County Attorney,7042,0.40,2.00,36.10,,2018-11-06,2018-01-01,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,Filing deadline in March.
IA - Iowa,Iowa,IA,County Attorney,16374,0.70,2.50,46.70,,2018-11-06,2018-01-01,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,Filing deadline in March.
IA - Jackson,Jackson,IA,County Attorney,19482,0.60,1.30,57.70,,2018-11-06,2018-01-01,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,Filing deadline in March.
IA - Jasper,Jasper,IA,County Attorney,36872,1.90,1.90,52.60,,2018-11-06,2018-01-01,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,Filing deadline in March.
IA - Jefferson,Jefferson,IA,County Attorney,17325,1.90,2.90,56.20,,2018-11-06,2018-01-01,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,Filing deadline in March.
IA - Johnson,Johnson,IA,County Attorney,142287,5.90,5.50,66.70,,2018-11-06,2018-01-01,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,Filing deadline in March.
IA - Jones,Jones,IA,County Attorney,20454,2.30,1.60,53.00,,2018-11-06,2018-01-01,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,Filing deadline in March.
IA - Keokuk,Keokuk,IA,County Attorney,10231,0.50,1.60,43.70,,2018-11-06,2018-01-01,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,Filing deadline in March.
IA - Kossuth,Kossuth,IA,County Attorney,15222,0.60,2.00,43.10,,2018-11-06,2018-01-01,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,Filing deadline in March.
IA - Lee,Lee,IA,County Attorney,35286,3.10,3.40,56.70,,2018-11-06,2018-01-01,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,Filing deadline in March.
IA - Linn,Linn,IA,County Attorney,217751,4.50,2.90,57.90,,2018-11-06,2018-01-01,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,Filing deadline in March.
IA - Louisa,Louisa,IA,County Attorney,11161,1.00,16.20,49.40,,2018-11-06,2018-01-01,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,Filing deadline in March.
IA - Lucas,Lucas,IA,County Attorney,8701,0.30,1.30,46.30,,2018-11-06,2018-01-01,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,Filing deadline in March.
IA - Lyon,Lyon,IA,County Attorney,11683,0.30,2.70,21.90,,2018-11-06,2018-01-01,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,Filing deadline in March.
IA - Madison,Madison,IA,County Attorney,15609,0.50,1.50,42.90,,2018-11-06,2018-01-01,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,Filing deadline in March.
IA - Mahaska,Mahaska,IA,County Attorney,22370,1.30,1.90,38.70,,2018-11-06,2018-01-01,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,Filing deadline in March.
IA - Marion,Marion,IA,County Attorney,33365,1.00,1.90,42.40,,2018-11-06,2018-01-01,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,Filing deadline in March.
IA - Marshall,Marshall,IA,County Attorney,40866,2.00,19.90,53.80,,2018-11-06,2018-01-01,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,Filing deadline in March.
IA - Mills,Mills,IA,County Attorney,14831,0.60,2.60,39.50,,2018-11-06,2018-01-01,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,Filing deadline in March.
IA - Mitchell,Mitchell,IA,County Attorney,10779,0.60,1.20,50.70,,2018-11-06,2018-01-01,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,Filing deadline in March.
IA - Monona,Monona,IA,County Attorney,8996,0.50,2.00,44.30,,2018-11-06,2018-01-01,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,Filing deadline in March.
IA - Monroe,Monroe,IA,County Attorney,8001,0.60,2.40,45.20,,2018-11-06,2018-01-01,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,Filing deadline in March.
IA - Montgomery,Montgomery,IA,County Attorney,10421,0.40,3.50,38.20,,2018-11-06,2018-01-01,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,Filing deadline in March.
IA - Muscatine,Muscatine,IA,County Attorney,42903,2.20,17.20,57.00,,2018-11-06,2018-01-01,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,Filing deadline in March.
IA - O'Brien,O'Brien,IA,County Attorney,14056,0.90,4.50,26.80,,2018-11-06,2018-01-01,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,Filing deadline in March.
IA - Osceola,Osceola,IA,County Attorney,6218,0.40,6.80,28.60,,2018-11-06,2018-01-01,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,Filing deadline in March.
IA - Page,Page,IA,County Attorney,15496,2.40,2.90,36.90,,2018-11-06,2018-01-01,http://www.kmaland.com/news/peterson-steps-down-as-county-attorney/article_9423ecb6-f8c5-11e4-a44d-9f6b69731ac3.html,Filing deadline in March.
IA - Palo Alto,Palo Alto,IA,County Attorney,9099,0.90,2.10,43.80,,2018-11-06,2018-01-01,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,Filing deadline in March.
IA - Plymouth,Plymouth,IA,County Attorney,24874,0.50,4.10,32.20,,2018-11-06,2018-01-01,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,Filing deadline in March.
IA - Pocahontas,Pocahontas,IA,County Attorney,7138,0.90,3.40,37.80,,2018-11-06,2018-01-01,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,Filing deadline in March.
IA - Polk,Polk,IA,County Attorney,459862,6.70,8.00,56.10,,2018-11-06,2018-01-01,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,Filing deadline in March.
IA - Pottawattamie,Pottawattamie,IA,County Attorney,93128,1.60,7.20,46.40,,2018-11-06,2018-01-01,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,Filing deadline in March.
IA - Poweshiek,Poweshiek,IA,County Attorney,18668,1.40,3.00,53.70,,2018-11-06,2018-01-01,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,Filing deadline in March.
IA - Ringgold,Ringgold,IA,County Attorney,5051,0.40,2.00,45.60,,2018-11-06,2018-01-01,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,Filing deadline in March.
IA - Sac,Sac,IA,County Attorney,10035,0.30,2.80,40.10,,2018-11-06,2018-01-01,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,Filing deadline in March.
IA - Scott,Scott,IA,County Attorney,171387,7.50,6.30,56.10,,2018-11-06,2018-01-01,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,Filing deadline in March.
IA - Shelby,Shelby,IA,County Attorney,11948,0.50,2.30,38.10,,2018-11-06,2018-01-01,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,Filing deadline in March.
IA - Sioux,Sioux,IA,County Attorney,34681,1.00,9.80,15.60,,2018-11-06,2018-01-01,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,Filing deadline in March.
IA - Story,Story,IA,County Attorney,94073,2.80,3.10,55.60,,2018-11-06,2018-01-01,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,Filing deadline in March.
IA - Tama,Tama,IA,County Attorney,17451,0.60,8.40,52.90,,2018-11-06,2018-01-01,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,Filing deadline in March.
IA - Taylor,Taylor,IA,County Attorney,6143,0.40,7.50,42.10,,2018-11-06,2018-01-01,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,Filing deadline in March.
IA - Union,Union,IA,County Attorney,12516,1.00,2.80,51.10,,2018-11-06,2018-01-01,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,Filing deadline in March.
IA - Van Buren,Van Buren,IA,County Attorney,7468,0.30,1.30,39.30,,2018-11-06,2018-01-01,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,Filing deadline in March.
IA - Wapello,Wapello,IA,County Attorney,35212,2.20,10.00,54.90,,2018-11-06,2018-01-01,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,Filing deadline in March.
IA - Warren,Warren,IA,County Attorney,47956,0.70,2.50,48.10,,2018-11-06,2018-01-01,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,Filing deadline in March.
IA - Washington,Washington,IA,County Attorney,22070,0.90,5.60,46.50,,2018-11-06,2018-01-01,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,Filing deadline in March.
IA - Wayne,Wayne,IA,County Attorney,6395,0.70,1.70,43.10,,2018-11-06,2018-01-01,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,Filing deadline in March.
IA - Webster,Webster,IA,County Attorney,36955,4.20,4.30,52.10,,2018-11-06,2018-01-01,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,Filing deadline in March.
IA - Winnebago,Winnebago,IA,County Attorney,10559,1.40,3.90,49.10,,2018-11-06,2018-01-01,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,Filing deadline in March.
IA - Winneshiek,Winneshiek,IA,County Attorney,20768,0.80,2.10,56.40,,2018-11-06,2018-01-01,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,Filing deadline in March.
IA - Woodbury,Woodbury,IA,County Attorney,102271,2.80,15.20,49.50,,2018-11-06,2018-01-01,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,Filing deadline in March.
IA - Worth,Worth,IA,County Attorney,7624,0.90,2.70,56.30,,2018-11-06,2018-01-01,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,Filing deadline in March.
IA - Wright,Wright,IA,County Attorney,12840,0.80,10.20,45.20,,2018-11-06,2018-01-01,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,Filing deadline in March.
ID - Ada,Ada,ID,County Prosecutor,426236,1.30,7.70,42.70,2016-05-17,2016-11-08,2016-03-11,,
ID - Adams,Adams,ID,County Prosecutor,3861,0.20,3.20,28.00,2016-05-17,2016-11-08,2016-03-11,,
ID - Bannock,Bannock,ID,County Prosecutor,83347,0.90,8.00,37.50,2016-05-17,2016-11-08,2016-03-11,http://www.sos.idaho.gov/elect/results/2012/General/county1.htm,
ID - Bear Lake,Bear Lake,ID,County Prosecutor,5957,0.30,4.20,10.70,2016-05-17,2016-11-08,2016-03-11,http://www.sos.idaho.gov/elect/results/2012/General/county1.htm,
ID - Benewah,Benewah,ID,County Prosecutor,9118,0.40,3.30,30.00,2016-05-17,2016-11-08,2016-03-11,http://www.sos.idaho.gov/elect/results/2012/General/county1.htm,
ID - Bingham,Bingham,ID,County Prosecutor,45269,0.50,17.80,21.70,2016-05-17,2016-11-08,2016-03-11,http://www.sos.idaho.gov/elect/results/2012/General/county1.htm,
ID - Blaine,Blaine,ID,County Prosecutor,21482,0.30,20.70,58.80,2016-05-17,2016-11-08,2016-03-11,http://www.sos.idaho.gov/elect/results/2012/General/county1.htm,
ID - Boise,Boise,ID,County Prosecutor,6824,0.50,3.60,28.50,2016-05-17,2016-11-08,2016-03-11,http://www.idahostatesman.com/news/local/crime/article40865745.html,
ID - Bonner,Bonner,ID,County Prosecutor,41585,0.30,2.90,36.10,2016-05-17,2016-11-08,2016-03-11,http://www.sos.idaho.gov/elect/results/2012/General/county1.htm,
ID - Bonneville,Bonneville,ID,County Prosecutor,108623,0.70,12.50,22.90,2016-05-17,2016-11-08,2016-03-11,http://www.localnews8.com/news/New-prosecutor-named-for-Bonneville-County/29945598,
ID - Boundary,Boundary,ID,County Prosecutor,10979,0.50,4.20,27.00,2016-05-17,2016-11-08,2016-03-11,http://www.sos.idaho.gov/elect/results/2012/General/county1.htm,
ID - Butte,Butte,ID,County Prosecutor,2622,0.20,5.80,20.10,2016-05-17,2016-11-08,2016-03-11,http://www.sos.idaho.gov/elect/results/2012/General/county1.htm,
ID - Camas,Camas,ID,County Prosecutor,1039,0.50,7.50,27.50,2016-05-17,2016-11-08,2016-03-11,,
ID - Canyon,Canyon,ID,County Prosecutor,203143,0.80,24.60,30.10,2016-05-17,2016-11-08,2016-03-11,http://www.sos.idaho.gov/elect/results/2012/General/county1.htm,
ID - Caribou,Caribou,ID,County Prosecutor,6837,0.20,5.30,12.60,2016-05-17,2016-11-08,2016-03-11,http://www.sos.idaho.gov/elect/results/2012/General/county1.htm,
ID - Cassia,Cassia,ID,County Prosecutor,23540,0.60,26.60,13.10,2016-05-17,2016-11-08,2016-03-11,http://magicvalley.com/news/local/crime-and-courts/new-cassia-county-prosecutor-appointed/article_89470094-0de8-11e4-866d-001a4bcf887a.html,
ID - Clark,Clark,ID,County Prosecutor,867,0.80,42.60,20.10,2016-05-17,2016-11-08,2016-03-11,no elections held,
ID - Clearwater,Clearwater,ID,County Prosecutor,8562,0.50,3.60,27.90,2016-05-17,2016-11-08,2016-03-11,http://www.sos.idaho.gov/elect/results/2012/General/county1.htm,
ID - Custer,Custer,ID,County Prosecutor,4140,0.20,4.10,22.50,2016-05-17,2016-11-08,2016-03-11,http://www.sos.idaho.gov/elect/results/2012/General/county1.htm,
ID - Elmore,Elmore,ID,County Prosecutor,26094,3.20,16.20,31.40,2016-05-17,2016-11-08,2016-03-11,http://www.sos.idaho.gov/elect/results/2012/General/county1.htm,
ID - Franklin,Franklin,ID,County Prosecutor,13021,0.30,6.90,5.80,2016-05-17,2016-11-08,2016-03-11,http://www.sos.idaho.gov/elect/results/2012/General/county1.htm,
ID - Fremont,Fremont,ID,County Prosecutor,12867,0.80,12.40,14.00,2016-05-17,2016-11-08,2016-03-11,http://www.sos.idaho.gov/elect/RESULTS/2012/General/county2.htm,
ID - Gem,Gem,ID,County Prosecutor,16866,0.20,8.20,26.10,2016-05-17,2016-11-08,2016-03-11,http://www.sos.idaho.gov/elect/RESULTS/2012/General/county2.htm,
ID - Gooding,Gooding,ID,County Prosecutor,15064,0.50,28.60,25.10,2016-05-17,2016-11-08,2016-03-11,http://www.sos.idaho.gov/elect/RESULTS/2012/General/county2.htm,
ID - Idaho,Idaho,ID,County Prosecutor,16215,0.40,3.10,21.80,2016-05-17,2016-11-08,2016-03-11,http://www.sos.idaho.gov/elect/RESULTS/2012/General/county2.htm,
ID - Jefferson,Jefferson,ID,County Prosecutor,27021,0.40,10.30,11.40,2016-05-17,2016-11-08,2016-03-11,http://www.sos.idaho.gov/elect/RESULTS/2012/General/county2.htm,
ID - Jerome,Jerome,ID,County Prosecutor,22818,0.60,34.00,25.40,2016-05-17,2016-11-08,2016-03-11,http://www.sos.idaho.gov/elect/RESULTS/2012/General/county2.htm,
ID - Kootenai,Kootenai,ID,County Prosecutor,147326,0.40,4.30,31.50,2016-05-17,2016-11-08,2016-03-11,http://www.sos.idaho.gov/elect/RESULTS/2012/General/county2.htm,
ID - Latah,Latah,ID,County Prosecutor,38411,1.10,4.10,49.50,2016-05-17,2016-11-08,2016-03-11,http://www.sos.idaho.gov/elect/RESULTS/2012/General/county2.htm,
ID - Lemhi,Lemhi,ID,County Prosecutor,7726,0.50,3.10,23.40,2016-05-17,2016-11-08,2016-03-11,http://www.sos.idaho.gov/elect/RESULTS/2012/General/county2.htm,
ID - Lewis,Lewis,ID,County Prosecutor,3838,0.40,4.00,24.50,2016-05-17,2016-11-08,2016-03-11,http://www.sos.idaho.gov/elect/RESULTS/2012/General/county2.htm,
ID - Lincoln,Lincoln,ID,County Prosecutor,5316,0.50,30.20,28.20,2016-05-17,2016-11-08,2016-03-11,http://www.sos.idaho.gov/elect/RESULTS/2012/General/county2.htm,
ID - Madison,Madison,ID,County Prosecutor,38038,0.70,7.00,5.80,2016-05-17,2016-11-08,2016-03-11,http://www.sos.idaho.gov/elect/RESULTS/2012/General/county2.htm,
ID - Minidoka,Minidoka,ID,County Prosecutor,20323,0.40,33.70,19.90,2016-05-17,2016-11-08,2016-03-11,http://www.sos.idaho.gov/elect/RESULTS/2012/General/county2.htm,
ID - Nez Perce,Nez Perce,ID,County Prosecutor,40007,0.50,3.70,38.30,2016-05-17,2016-11-08,2016-03-11,http://www.sos.idaho.gov/elect/RESULTS/2012/General/county2.htm,
ID - Oneida,Oneida,ID,County Prosecutor,4184,0.30,4.10,10.40,2016-05-17,2016-11-08,2016-03-11,http://www.sos.idaho.gov/elect/RESULTS/2012/General/county2.htm,
ID - Owyhee,Owyhee,ID,County Prosecutor,11353,0.80,26.50,22.40,2016-05-17,2016-11-08,2016-03-11,http://www.sos.idaho.gov/elect/RESULTS/2012/General/county2.htm,
ID - Payette,Payette,ID,County Prosecutor,22836,0.40,16.70,26.70,2016-05-17,2016-11-08,2016-03-11,http://www.sos.idaho.gov/elect/RESULTS/2012/General/county2.htm,
ID - Power,Power,ID,County Prosecutor,7617,1.00,31.10,33.80,2016-05-17,2016-11-08,2016-03-11,http://www.sos.idaho.gov/elect/RESULTS/2012/General/county2.htm,
ID - Shoshone,Shoshone,ID,County Prosecutor,12390,0.30,3.40,44.20,2016-05-17,2016-11-08,2016-03-11,http://www.sos.idaho.gov/elect/RESULTS/2012/General/county2.htm,
ID - Teton,Teton,ID,County Prosecutor,10341,0.40,17.70,42.60,2016-05-17,2016-11-08,2016-03-11,http://www.sos.idaho.gov/elect/RESULTS/2012/General/county2.htm,
ID - Twin Falls,Twin Falls,ID,County Prosecutor,80914,0.70,15.20,26.80,2016-05-17,2016-11-08,2016-03-11,http://www.sos.idaho.gov/elect/RESULTS/2012/General/county2.htm,
ID - Valley,Valley,ID,County Prosecutor,9826,0.20,4.40,42.60,2016-05-17,2016-11-08,2016-03-11,http://www.sos.idaho.gov/elect/RESULTS/2012/General/county2.htm,
ID - Washington,Washington,ID,County Prosecutor,10021,0.40,17.20,25.50,2016-05-17,2016-11-08,2016-03-11,http://www.sos.idaho.gov/elect/RESULTS/2012/General/county2.htm,
IL - Adams,Adams,IL,State's Attorney,66988,3.70,1.40,31.40,2016-03-15,2016-11-08,2015-11-30,http://www.co.adams.il.us/county_clerk/results/2012-1106.htm,
IL - Alexander,Alexander,IL,State's Attorney,7492,36.60,2.10,56.10,2016-03-15,2016-11-08,2015-11-30,https://www.elections.il.gov/Downloads/ElectionInformation/PDF/coofficers.pdf,
IL - Bond,Bond,IL,State's Attorney,17269,6.50,3.50,41.00,2016-03-15,2016-11-08,2015-11-30,http://il.bond.accessliberty.com/pastelections.aspx,
IL - Boone,Boone,IL,State's Attorney,53869,2.70,20.60,46.10,2016-03-15,2016-11-08,2015-11-30,http://rvpnews.com/?p=3256,
IL - Brown,Brown,IL,State's Attorney,6832,19.20,6.20,33.30,2016-03-15,2016-11-08,2015-11-30,http://tspr.org/post/election-results-2012#stream/0,
IL - Bureau,Bureau,IL,State's Attorney,33840,0.90,8.60,48.80,2016-03-15,2016-11-08,2015-11-30,http://www.saukvalley.com/2015/01/14/outgoing-bureau-county-states-attorney-recommends-successor/a71bafz/,
IL - Calhoun,Calhoun,IL,State's Attorney,4956,0.30,1.10,41.90,2016-03-15,2016-11-08,2015-11-30,https://www.facebook.com/telegraphnews/posts/205275826244862,
IL - Carroll,Carroll,IL,State's Attorney,14715,1.10,3.40,49.50,2016-03-15,2016-11-08,2015-11-30,http://www.mycarrollcountynews.com/news/article_dd76fd1c-739a-11e1-ab0f-0019bb30f31a.html,
IL - Cass,Cass,IL,State's Attorney,13156,3.80,18.90,42.10,2016-03-15,2016-11-08,2015-11-30,left vm with cass county clerk on 2/18,
IL - Champaign,Champaign,IL,State's Attorney,207133,12.80,5.70,51.90,2016-03-15,2016-11-08,2015-11-30,http://www.news-gazette.com/news/local/2015-06-28/vargas-declares-candidacy-states-attorney.html,
IL - Christian,Christian,IL,State's Attorney,33892,1.60,1.60,37.30,2016-03-15,2016-11-08,2015-11-30,http://herald-review.com/news/local/govt-and-politics/former-shelby-state-s-attorney-defeats-current-one/article_7dd8ef8a-28f5-11e2-9fb1-001a4bcf887a.html,
IL - Clark,Clark,IL,State's Attorney,16180,0.50,1.40,32.90,2016-03-15,2016-11-08,2015-11-30,http://jg-tc.com/news/primary-election-ogle-ramsey-vie-for-gop-nod-for-clark/article_ad0fe3ce-6f25-11e1-9ef6-0019bb2963f4.html,
IL - Clay,Clay,IL,State's Attorney,13520,0.50,1.50,26.80,2016-03-15,2016-11-08,2015-11-30,,
IL - Clinton,Clinton,IL,State's Attorney,37857,3.70,3.10,34.00,2016-03-15,2016-11-08,2015-11-30,http://www.wjbdradio.com/electionLocalNews/Clinton-County-Election-News#.VrbST_krLIU,
IL - Coles,Coles,IL,State's Attorney,53320,4.10,2.30,43.20,2016-03-15,2016-11-08,2015-11-30,http://herald-review.com/news/local/govt-and-politics/former-shelby-state-s-attorney-defeats-current-one/article_7dd8ef8a-28f5-11e2-9fb1-001a4bcf887a.html,
IL - Cook,Cook,IL,State's Attorney,5246456,24.40,25.00,73.90,2016-03-15,2016-11-08,2015-11-30,https://en.wikipedia.org/wiki/Anita_Alvarez,
IL - Crawford,Crawford,IL,State's Attorney,19393,4.90,2.20,33.10,2016-03-15,2016-11-08,2015-11-30,http://www.crawfordcountycentral.com/coclerk/2012_general.htm,
IL - Cumberland,Cumberland,IL,State's Attorney,10833,0.50,1.00,31.00,2016-03-15,2016-11-08,2015-11-30,http://www.1035theeagle.com/news/1406-november-7-2012-local-a-area-news,
IL - DeKalb,DeKalb,IL,State's Attorney,105462,7.60,10.90,51.40,2016-03-15,2016-11-08,2015-11-30,http://dekalbcountyonline.com/2012/11/richard-schmack-unseats-campbell-for-dekalb-county-states-attorney/,
