,"(Counties, if a District)",Population/Census 2014,Percent Pop AA,Percent Pop Hispanic,Obama Share by Vote (2012),Title,Name,First Year in office,Last Election Year,Percent Vote Last Election,Party Affiliation,Race,Gender,status of reelection,Republican candidates,Rep Race,Rep Gender ,Democratic candidates,Dem Race,Dem Gender,NP Candidate,NP Race,NP Gender,Category,Next Election,Past election result,,Special notes,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,,"filing deadline November 6th, 2015 for March 2016 primary",,,,"six year terms, last general election 2010",,,,,,,,,,,,,,,,,,,,,,,,Democrat Candidates: http://www.alabamavotes.gov/downloads/election/2016/primary/statecert-demparty-candidates_2015-12-18.pdf,,,,,,,,,,
,,allocation of counties to districts according to: http://www.alabamaprosecutor.com/DAList.aspx,,,,,,,,,,,,,,,,,,,,,,,,certified election results from November 2010,,,,,Republican candidates for 2016: http://www.alabamavotes.gov/downloads/election/2016/primary/statecert-repparty-candidates_2015-12-18_amended.pdf,,,,,,,,,
Davis,,8781,0.2,1.2,40.3,County Attorney,Rick Lynch,,2014,U,D,C,M,,,,,,,,,,,,2018,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,,,,,,,,,,,,,,
Decatur,,8263,2,2.6,46.7,County Attorney,Lisa Hynden Jeanes,,2014,U,NP,C,F,,,,,,,,,,,,2018,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,,,,,,,,,,,,,,
Delaware,,17398,0.4,1.1,49.2,County Attorney,John Bernau,,2014,U,R,C,M,,,,,,,,,,,,2018,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,,,,,,,,,,,,,,
Des Moines,,40255,5.9,2.9,58.3,County Attorney,Amy Beavers,,2014,61.1,D,C,F,,,,,,,,,,,,2018,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,,,,,,,,,,,,,,
Dickinson,,16935,0.4,1.7,40.3,County Attorney,Jon Martin,,2014,U,R,C,M,,,,,,,,,,,,2018,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,,,,,,,,,,,,,,
Dubuque,,96370,3,2.2,56.5,County Attorney,Ralph Potter,,2014,U,D,C,M,,,,,,,,,,,,2018,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,,,,,,,,,,,,,,
Emmet,,9990,1,10.4,44.8,County Attorney,Douglas Hansen,,2014,U,D,C,M,,,,,,,,,,,,2018,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,,,,,,,,,,,,,,
Fayette,,20343,1.2,2.2,55.3,County Attorney,W. Wayne Saur,,2014,U,R,C,M,,,,,,,,,,,,2018,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,,,,,,,,,,,,,,
Floyd,,16077,2,2.3,56.7,County Attorney,Rachel Ginbey,,2014,41.7,R,C,M,,,,,,,,,,,,2018,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,,,,,,,,,,,,,,
Franklin,,10436,0.9,11.8,43.7,County Attorney,Brent Symens,,2014,U,R,C,M,,,,,,,,,,,,2018,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,,,,,,,,,,,,,,
Fremont,,7022,0.7,2.6,44.6,County Attorney,Corey Becker,,2014,U,R,C,M,,,,,,,,,,,,2018,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,,,,,,,,,,,,,,
Greene,,9200,0.6,2.9,49,County Attorney,Nicola Martino,,2014,U,R,C,M,,,,,,,,,,,,2018,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,,,,,,,,,,,,,,
Grundy,,12375,0.5,1.2,37.8,County Attorney,Erika Allen,,2014,U,R,C,F,,,,,,,,,,,,2018,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,,,,,,,,,,,,,,
Guthrie,,10722,0.3,2.3,43.6,County Attorney,Mary Benton,,2014,U,R,C,F,,,,,,,,,,,,2018,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,,,,,,,,,,,,,,
Hamilton,,15117,0.8,5.4,47.7,County Attorney,Patrick Chambers,,2014,U,D,C,M,,,,,,,,,,,,2018,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,,,,,,,,,,,,,,
Hancock,,11027,0.7,3.5,42.5,County Attorney,David Solheim,,2014,U,NP,C,M,,,,,,,,,,,,2018,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,,,,,,,,,,,,,,
Hardin,,17311,1.5,4.1,45.8,County Attorney,Richard Dunn,,2014,62.5,R,C,M,,,,,,,,,,,,2018,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,,,,,,,,,,,,,,
Harrison,,14324,0.4,1.4,42.8,County Attorney,Jennifer Mumm,,2014,U,D,C,F,,,,,,,,,,,,2018,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,,,,,,,,,,,,,,
Henry,,20217,2.6,4.7,46,County Attorney,Darin Stater,,2014,U,R,C,M,,,,,,,,,,,,2018,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,,,,,,,,,,,,,,
Howard,,9449,0.8,1.4,59.6,County Attorney,Kevin Schoeberl,2015,appt,,D,C,M,,,,,,,,,,,,2018,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,,,,,,,,,,,,,,
Humboldt,,9640,0.7,4,38.2,County Attorney,Jon Beaty,,2014,U,R,C,M,,,,,,,,,,,,2018,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,,,,,,,,,,,,,,
Ida,,7042,0.4,2,36.1,County Attorney,Meghann Cosgrove Whitmer,,2014,U,D,C,F,,,,,,,,,,,,2018,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,,,,,,,,,,,,,,
Iowa,,16374,0.7,2.5,46.7,County Attorney,Tim McMeen,,2014,U,R,C,M,,,,,,,,,,,,2018,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,,,,,,,,,,,,,,
Jackson,,19482,0.6,1.3,57.7,County Attorney,Sara Davenport,,2014,U,D,C,F,,,,,,,,,,,,2018,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,,,,,,,,,,,,,,
Jasper,,36872,1.9,1.9,52.6,County Attorney,Michael Jacobsen,,2014,U,D,C,M,,,,,,,,,,,,2018,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,,,,,,,,,,,,,,
Jefferson,,17325,1.9,2.9,56.2,County Attorney,Tim Dille,,2014,U,R,C,M,,,,,,,,,,,,2018,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,,,,,,,,,,,,,,
Johnson,,142287,5.9,5.5,66.7,County Attorney,Janet Lyness,,2014,U,D,C,F,,,,,,,,,,,,2018,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,,,,,,,,,,,,,,
Jones,,20454,2.3,1.6,53,County Attorney,Phil Parsons,,2014,U,D,C,M,,,,,,,,,,,,2018,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,,,,,,,,,,,,,,
Keokuk,,10231,0.5,1.6,43.7,County Attorney,John Schroeder,,2014,U,R,C,M,,,,,,,,,,,,2018,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,,,,,,,,,,,,,,
Kossuth,,15222,0.6,2,43.1,County Attorney,Todd Holmes,,2014,U,D,C,M,,,,,,,,,,,,2018,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,,,,,,,,,,,,,,
Lee,,35286,3.1,3.4,56.7,County Attorney,Michael Short,,2014,U,D,C,M,,,,,,,,,,,,2018,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,,,,,,,,,,,,,,
Linn,,217751,4.5,2.9,57.9,County Attorney,Jerry Vander Sanden,,2014,U,D,C,M,,,,,,,,,,,,2018,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,,,,,,,,,,,,,,
Louisa,,11161,1,16.2,49.4,County Attorney,Adam Parsons,,2014,U,R,C,M,,,,,,,,,,,,2018,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,,,,,,,,,,,,,,
Lucas,,8701,0.3,1.3,46,County Attorney,Paul Goldsmith,,2014,U,R,C,M,,,,,,,,,,,,2018,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,,,,,,,,,,,,,,
Lyon,,11683,0.3,2.7,21.9,County Attorney,Shayne Mayer,,2014,U,R,C,M,,,,,,,,,,,,2018,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,,,,,,,,,,,,,,
Madison,,15609,0.5,1.5,42.9,County Attorney,Matthew Schultz,,2014,60.9,R,C,M,,,,,,,,,,,,2018,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,,,,,,,,,,,,,,
Mahaska,,22370,1.3,1.9,38.7,County Attorney,James Blomgren,appt 2015,appt,,R,C,M,,,,,,,,,,,,2018,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,,,,,,,,,,,,,,
Marion,,33365,1,1.9,42.4,County Attorney,Ed Bull,,2014,U,R,C,M,,,,,,,,,,,,2018,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,,,,,,,,,,,,,,
Marshall,,40866,2,19.9,53.8,County Attorney,Jennifer Miller,,2014,U,R,C,F,,,,,,,,,,,,2018,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,,,,,,,,,,,,,,
Mills,,14831,0.6,2.6,39.5,County Attorney,Tricia McSorley,,2014,U,R,C,F,,,,,,,,,,,,2018,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,,,,,,,,,,,,,,
Mitchell,,10779,0.6,1.2,50.7,County Attorney,Mark Walk,,2014,U,R,C,M,,,,,,,,,,,,2018,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,,,,,,,,,,,,,,
Monona,,8996,0.5,2,44.3,County Attorney,Ian McConeghey,,2014,51.5,R,C,M,,,,,,,,,,,,2018,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,,,,,,,,,,,,,,
Monroe,,8001,0.6,2.4,45.2,County Attorney,John Pabst,,2014,53.3,R,C,M,,,,,,,,,,,,2018,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,,,,,,,,,,,,,,
Montgomery,,10421,0.4,3.5,38.2,County Attorney,Bruce Swanson,,2014,U,R,C,M,,,,,,,,,,,,2018,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,,,,,,,,,,,,,,
Muscatine,,42903,2.2,17.2,57,County Attorney,Alan Ostergren,,2014,U,R,C,M,,,,,,,,,,,,2018,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,,,,,,,,,,,,,,
O'Brien,,14056,0.9,4.5,26.8,County Attorney,Micah Schreurs,,2014,U,R,C,M,,,,,,,,,,,,2018,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,,,,,,,,,,,,,,
Osceola,,6218,0.4,6.8,28.6,County Attorney,Robert Hansen,,2014,U,R,C,M,,,,,,,,,,,,2018,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,,,,,,,,,,,,,,
Page,,15496,2.4,2.9,36.9,County Attorney,Carl Sonksen,2015,appt,,R,C,M,,,,,,,,,,,,2018,http://www.kmaland.com/news/peterson-steps-down-as-county-attorney/article_9423ecb6-f8c5-11e4-a44d-9f6b69731ac3.html,,,,,,,,,,,,,,
Palo Alto,,9099,0.9,2.1,43.8,County Attorney,Peter Hart,,2014,60.3,D,C,M,,,,,,,,,,,,2018,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,,,,,,,,,,,,,,
Plymouth,,24874,0.5,4.1,32.2,County Attorney,Darin Raymond,,2014,U,R,C,M,,,,,,,,,,,,2018,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,,,,,,,,,,,,,,
Pocahontas,,7138,0.9,3.4,37.8,County Attorney,Ann Beneke,,2014,U,R,C,F,,,,,,,,,,,,2018,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,,,,,,,,,,,,,,
Polk,,459862,6.7,8,56.1,County Attorney,John Sarcone,,2014,U,D,C,M,,,,,,,,,,,,2018,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,,,,,,,,,,,,,,
Pottawattamie,,93128,1.6,7.2,46.4,County Attorney,Matthew Wilber,,2014,U,R,C,M,,,,,,,,,,,,2018,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,,,,,,,,,,,,,,
Poweshiek,,18668,1.4,3,53.7,County Attorney,Becky Petig,,2014,50.8,D,C,F,,,,,,,,,,,,2018,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,,,,,,,,,,,,,,
Ringgold,,5051,0.4,2,45.6,County Attorney,Clinton Spurrier,,2014,U,R,C,M,,,,,,,,,,,,2018,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,,,,,,,,,,,,,,
Sac,,10035,0.3,2.8,40.1,County Attorney,Ben Smith,,2014,U,R,C,M,,,,,,,,,,,,2018,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,,,,,,,,,,,,,,
Scott,,171387,7.5,6.3,56.1,County Attorney,Michael Walton,,2014,U,D,C,M,,,,,,,,,,,,2018,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,,,,,,,,,,,,,,
Shelby,,11948,0.5,2.3,38.1,County Attorney,Marcus Gross,,2014,U,D,C,M,,,,,,,,,,,,2018,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,,,,,,,,,,,,,,
Sioux,,34681,1,9.8,15.6,County Attorney,Thomas Kunstle,,2014,U,R,C,M,,,,,,,,,,,,2018,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,,,,,,,,,,,,,,
Story,,94073,2.8,3.1,55.6,County Attorney,Stephen Holmes,,2014,52.3,D,C,M,,,,,,,,,,,,2018,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,,,,,,,,,,,,,,
Tama,,17451,0.6,8.4,52.9,County Attorney,Brent Heeren,,2014,U,R,C,M,,,,,,,,,,,,2018,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,,,,,,,,,,,,,,
Taylor,,6143,0.4,7.5,42.1,County Attorney,Clinton Spurrier,,2014,U,R,C,M,,,,,,,,,,,,2018,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,,,,,,,,,,,,,,
Union,,12516,1,2.8,51.1,County Attorney,Timothy Kenyon,,2014,U,R,C,M,,,,,,,,,,,,2018,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,,,,,,,,,,,,,,
Van Buren,,7468,0.3,1.3,39.3,County Attorney,Abraham Watkins,,2014,52.8,NP,C,M,,,,,,,,,,,,2018,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,,,,,,,,,,,,,,
Wapello,,35212,2.2,10,54.9,County Attorney,Gary Oldenburer,,2014,U,D,C,M,,,,,,,,,,,,2018,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,,,,,,,,,,,,,,
Warren,,47956,0.7,2.5,48.1,County Attorney,John Criswell,,2014,U,R,C,M,,,,,,,,,,,,2018,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,,,,,,,,,,,,,,
Washington,,22070,0.9,5.6,46.5,County Attorney,Shawn Showers,,2014,57.7,R,C,M,,,,,,,,,,,,2018,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,,,,,,,,,,,,,,
Wayne,,6395,0.7,1.7,43.1,County Attorney,Alan Wilson,,2014,U,R,C,M,,,,,,,,,,,,2018,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,,,,,,,,,,,,,,
Webster,,36955,4.2,4.3,52.1,County Attorney,Jennifer Benson,,2014,56.4,D,C,F,,,,,,,,,,,,2018,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,,,,,,,,,,,,,,
Winnebago,,10559,1.4,3.9,49.1,County Attorney,Adam Sauer,,2014,U,R,C,M,,,,,,,,,,,,2018,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,,,,,,,,,,,,,,
Winneshiek,,20768,0.8,2.1,56.4,County Attorney,Andrew Van Der Maaten,,2014,U,R,C,M,,,,,,,,,,,,2018,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,,,,,,,,,,,,,,
Woodbury,,102271,2.8,15.2,49.5,County Attorney,Patrick Jennings,,2014,U,D,AA,M,,,,,,,,,,,,2018,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,,,,,,,,,,,,,,
Worth,,7624,0.9,2.7,56.3,County Attorney,Jeff Greve,,2014,61.7,R,C,M,,,,,,,,,,,,2018,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,,,,,,,,,,,,,,
Wright,,12840,0.8,10.2,45.2,County Attorney,Eric Simonson,,2014,U,R,C,M,,,,,,,,,,,,2018,http://electionresults.sos.iowa.gov/Views/TabularData.aspx?TabCounty=CountyReporting^Cerro%20Gordo^84&ElectionID=84,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,https://www.kssos.org/forms/communication/county.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas ,roster of prosecutors: http://www.kcdaa.org/memberdirectory,,,,,,,,4 year term,,,,,primary in Aug,Filing deadline June 1st,,,,,,,,,,,http://www.kssos.org/elections/12elec/2012_General_Election_Results.pdf,,,,,,,,,,,,,,
Allen,,12909,2.2,3.3,35.2,County Attorney,Jerry Hathaway,2008,2014,U,R,C,M,,,,,,,,,,,,2018,http://old.iolaregister.com/Archives/News/Stories/2008/August/Challenger%20beats%20commissioner.html,,"County Clerk said, ""Jerry B. Hathaway elected in 2008 resigned and Wade was appointed to Attorney, then ran for attorney in 2012, then when Wade resigned Jerry was appointed to replace Wade who got married and moved away."" ",,,,,,,,,,,,
Anderson,,7883,0.6,1.7,28.5,County Attorney,Brandon L. Jones,2012,2012,U,R,C,M,,,,,,,,,,,,2016,http://www.och-c.com/topstories/2012/0809/080912election.html,,,,,,,,,,,,,,
Atchison,,16513,5.2,2.9,38.5,County Attorney,Gerald Kuckelman,2001,2012,U,R,C,M,,,,,,,,,,,,2016,https://github.com/BusProject/Ballot/blob/master/lib/states/KS.csv,,,,,,,,,,,,,,
Barber,,4897,0.6,3.6,20.8,County Attorney,Gaten Wood,,2014,U,R,C,M,,,,,,,,,,,,2018,http://www.kansascounties.org/documentcenter/view/1578,,,,,,,,,,,,,,
Barton,,27385,1.8,14.3,22.2,County Attorney,Douglas Matthews,,2012,U,R,C,M,,,,,,,,,,,,2016,http://www.greatbendpost.com/2012/11/06/complete-general-election-results-barton-county/,,,,,,,,,,,,,,
Brown,,9815,1.6,3.8,40.2,County Attorney,Kevin Hill,1993,2012,U,R,AA,M,,,,,,,,,,,,2016,https://github.com/BusProject/Ballot/blob/master/lib/states/KS.csv,,,785-742-2581 co clerk,,http://ks-brown.manatron.com/Portals/ks-brown/documents/ELECTION/Past/2012/AUG%20-%20Final%20Official%20Results.pdf,,,,,,,,,
Bourbon,,14772,3.3,2.3,31.9,County Attorney,Justin Meeks,appt 2015,,,R,C,M,,,,,,,,,,,,2016,http://www.fstribune.com/story/2163794.html,,,,,brcoks.org,,,,,,,,,
Butler,,66227,1.9,4.5,27.9,County Attorney,Darrin Devinney,2011,2012,U,R,C,M,,,,,,,,,,,,2016,http://maps.bucoks.com/elections/public/G06.php?election=18,,,,,,,,,,,,,,
Chase,,2692,1.3,4,28.2,County Attorney,William Halvorsen,appt sept 2014,,,R,C,M,,,,,,,,,,,,2016,https://www.linkedin.com/in/william-halvorsen-8b943047,,,,,,,,,,,,,,
Chautauqua,,3481,0.9,3,17.2,County Attorney,Larry Markle,,2012,U,R,C,M,,,,,,,,,,,,2016,http://www.winfieldcourier.com/news/article_d41fb38c-ed67-557c-ae67-d419b41c1ecf.html,,emailed county clerk at cqclerk@gmail.com ,,,,,,,,,,,,
Cherokee,,20787,0.8,2.3,34.2,County Attorney,Nathan Coleman,2012,2012,67.28,R,C,M,,,,,,,,,,,,2016,http://www.sekinfo.com/index.php?option=com_content&task=view&id=8748&Itemid=91,,,,,,,,,,,,,,
Cheyenne,,2693,0.1,7.1,16.3,County Attorney,Nicole M. Romine,appt 2015,,,R,C,F,,,,,,,,,,,,2016,http://www.rominelawoffice.com/attorneys.html,,http://files.kcdaa.org/KSProsecutor/KSProsecutor-SM13/files/assets/basic-html/page16.html,,,,,,,,,,,,
Clark,,2144,0.7,9.8,17.1,County Attorney,Allison Kuhns,appt 2014,,,R,C,M,,,,,,,,,,,,2016,previous CA unopposed in 2012 https://github.com/BusProject/Ballot/blob/master/lib/states/KS.csv,,,,,,,,,,,,,,
Clay,,8317,0.7,2.6,22.6,County Attorney,Richard James,,2012,U,R,C,M,,,,,,,,,,,,2016,https://github.com/BusProject/Ballot/blob/master/lib/states/KS.csv,,,,,,,,,,,,,,
Cloud,,9385,0.9,3.5,24,County Attorney,Robert Walsh,1984,2012,,D,C,M,,,,,,,,,,,,2016,http://www.nashuatelegraph.com/news/974179-196/veteran-prosecutor-faces-off-against-former-county.html,,,,,,,,,,,,,,
Coffey,,8433,0.8,2.8,23,County Attorney,Christopher Phelan,appt 2014,,,R,C,M,,,,,,,,,,,,2016,http://donnalhess.tumblr.com/,,,,,,,,,,,,,,
Comanche,,1954,0.3,5,15.4,County Attorney,James (Skip) Herd,1993,2014,U,D,C,M,,,,,,,,,,,,2018,http://wss.stparchive.com/Archive/WSS/WSS09272012p07.php,,,,,,,,,,,,,,
Cowley,,35963,3,10.2,34,County Attorney,Christopher Smith,2005,2012,U,R,C,M,,,,,,,,,,,,2016,http://www.winfieldcourier.com/news/article_c17f4cc9-4333-52c4-a201-a40e0fb0fb71.html,,Cleared deputy after he killed black musician in a traffic stop http://www.kwch.com/news/local-news/multiple-agencies-assisting-with-cowley-county-incident/26272050,,,,,,,,,,,,
Crawford,,39290,2.3,5.1,45.7,County Attorney,Michael Gayoso Jr.,2009,2012,53.8,R,H,M,,,,,,,,,,,,2016,http://www.morningsun.net/article/20121107/News/311079927,,,,,,,,,,,,,,
Decatur,,2908,0.9,2,17.4,County Attorney,Steven Hirsch,,2012,U,R,C,M,,,,,,,,,,,,2016,http://nwkansas.com/obhwebpages/pdf%20pages%20-%20all/obh%20pages-pdfs%202012/obhPages_11_Nov/Week2/8a%20jump%20obh46.pdf,,,,,,,,,,,,,,
Dickinson,,19394,1,4.5,25.1,County Attorney,Daryl Hawkins,appt in 2012 whem CA died,2012,U,R,C,M,,,,,,,,,,,,2016,https://github.com/BusProject/Ballot/blob/master/lib/states/KS.csv,,,,,,,,,,,,,,
Doniphan,,7874,3.4,2.8,26.5,County Attorney,Charles Baskins,2004,2012,U,R,C,M,,,,,,,,,,,,2016,https://github.com/BusProject/Ballot/blob/master/lib/states/KS.csv,,,,,,,,,,,,,,
Douglas,,116585,4.6,5.8,60.8,District Attorney,Charles Branson,,2012,U,D,C,M,,,,,,,,,,,N,2016,http://kssos.org/elections/12elec/2012_General_Election_Results.pdf,,,,,,,,,,,,,,
Edwards,,3030,1.6,19.7,21.5,County Attorney,Mark Frame,1997,2014,U,D,C,M,,,,,,,,,,,,2018,https://github.com/BusProject/Ballot/blob/master/lib/states/KS.csv,,,,,,,,,,,,,,
